timestep,clearance,violation,near_miss,shield_used,shield_reason,eps,inflate,ctx_id,crashed,speed,calib_resid,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk
1,5.880641937255859,0,0,1,fallback,0.5,0.0,22,0,25.0,22.738226509094236,0.0,0,0.0,0.0,,,,0,
2,19.55864124298094,0,0,0,original_ok,0.5,0.0,22,0,20.40973520278932,11.357331895828228,0.0,0,0.0,0.0,,,,0,
3,53.13168964385983,0,0,1,feasible_alt,0.5,0.0,22,0,23.542437076568632,32.373048400878886,0.0,0,0.0,0.0,,,,0,
4,90.73983917236328,0,0,0,original_ok,0.5,0.0,22,0,24.608795166015636,38.709732913970974,0.0,0,0.0,0.0,,,,0,
5,14.053665161132812,0,0,1,fallback,0.5,0.0,22,0,25.0,26.406596755981443,0.0,0,0.0,0.0,,,,0,
6,11.11459732055664,0,0,1,fallback,0.5,0.0,7,0,25.0,26.39912185668945,0.0,0,0.0,0.0,,,,0,
7,20.11809730529783,0,0,0,original_ok,0.5,0.0,7,0,28.574042320251483,6.764710760116554,0.0,0,0.0,0.0,,,,0,
8,12.548603057861328,0,0,1,fallback,0.5,0.0,2,0,25.0,24.844693756103513,0.0,0,0.0,0.0,,,,0,
9,34.80783805847171,0,0,0,original_ok,0.5,0.0,2,0,28.63178920745847,22.45824890136722,0.0,0,0.0,0.0,,,,0,
10,10.653133392333984,0,0,1,fallback,0.5,0.0,2,0,25.0,25.322171783447263,0.0,0,0.0,0.0,,,,0,
11,11.912391662597656,0,0,1,fallback,0.5,0.0,11,0,25.0,25.140052413940428,0.0,0,0.0,0.0,,,,0,
12,42.70758018493653,0,0,0,original_ok,0.5,0.0,11,0,26.706244468688958,31.5016981124878,0.0,0,0.0,0.0,,,,0,
13,77.20268917083737,0,0,0,original_ok,0.5,0.0,11,0,27.860095500946063,33.93676118850704,0.0,0,0.0,0.0,,,,0,
14,11.156639099121094,0,0,1,fallback,0.5,0.0,11,0,25.0,26.872535324096678,0.0,0,0.0,0.0,,,,0,
15,10.367145538330078,0,0,1,fallback,0.5,0.0,11,0,25.0,25.212708091735838,0.0,0,0.0,0.0,,,,0,
16,23.241808891296408,0,0,0,original_ok,0.5,0.0,11,0,26.884467601776105,12.341486263275165,0.0,0,0.0,0.0,,,,0,
17,8.520133972167969,0,0,1,fallback,0.5,0.0,11,0,25.0,22.717748260498045,0.0,0,0.0,0.0,,,,0,
18,16.35880718231204,0,0,0,original_ok,0.5,0.0,11,0,25.253543376922583,6.9278342247009554,0.0,0,0.0,0.0,,,,0,
19,11.836898803710938,0,0,1,fallback,0.5,0.0,15,0,25.0,26.463146781921385,0.0,0,0.0,0.0,,,,0,
20,17.569668579101588,0,0,0,original_ok,0.5,0.0,15,0,29.34043502807615,5.050186634063746,0.0,0,0.0,0.0,,,,0,
21,11.731414794921875,0,0,1,fallback,0.5,0.0,15,0,25.0,25.245450592041013,0.0,0,0.0,0.0,,,,0,
