timestep,clearance,near_miss,violation,shield_used,shield_reason,ctx_id,ctx_tuple,tau_near_miss,tau_violation,eps,inflate,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk,budget_C,budget_T,calib_resid
1,-13.416933059692383,0,1,1,fallback,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,23.301902389526365
2,12.284969329833984,0,1,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,12.321725511550884
3,26.92736225128172,0,1,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,3.7928808212280103
4,28.73901615142819,0,1,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,25.68353738784792
5,53.32097015380858,1,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,17.841054916381836
6,69.073677444458,1,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,18.98583502769469
7,90.44636764526365,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,7.976678228378276
8,100.66183509826655,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,7.644022893905685
9,109.86271095275879,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-20.455397796630876
10,89.20829925537106,0,0,0,original_ok,12,"('med', 'normal', 'clean')",88.58502848148342,32.07932141304016,6.0,0.0,0.0,0,0.0,0.0,nan,nan,nan,0,nan,nan,nan,-11.029770183563258
