time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean
3,60.0,18,60,1,3.822222
1,60.0,62,120,2,4.3114375
1,60.0,105,180,3,6.383231666666667
1,60.0,149,240,4,5.74297925
1,60.0,194,300,5,4.976605600000001
1,60.0,238,360,6,4.623361833333334
1,60.0,284,420,7,4.23499042857143
1,60.0,328,480,8,4.06434675
1,60.0,371,540,9,4.255080666666667
1,60.0,378,600,10,4.6953122
1,60.0,385,660,11,4.963415090909091
1,60.0,393,720,12,5.347412833333333
1,60.0,400,780,13,5.157074615384615
2,60.0,407,840,14,5.334743857142856
2,60.0,414,900,15,5.1060783999999995
2,60.0,421,960,16,5.26596375
2,60.0,428,1020,17,5.125295823529412
2,60.0,436,1080,18,5.212338444444445
2,60.0,445,1140,19,4.938004842105264
2,60.0,452,1200,20,5.1716644
2,60.0,458,1260,21,5.430325619047619
2,60.0,465,1320,22,5.357230090909091
2,60.0,473,1380,23,5.416829043478261
2,60.0,518,1440,24,5.310307708333334
2,60.0,562,1500,25,5.44253032
2,60.0,606,1560,26,5.421724807692309
2,60.0,654,1620,27,5.362490814814816
2,60.0,697,1680,28,5.205213642857144
2,60.0,742,1740,29,5.355553827586208
2,60.0,785,1800,30,5.306342900000001
2,60.0,828,1860,31,5.351658838709678
2,60.0,872,1920,32,5.3364765
2,60.0,915,1980,33,5.378901696969696
2,60.0,957,2040,34,5.248896647058823
2,60.0,1001,2100,35,5.153349942857143
2,60.0,1047,2160,36,5.196180166666666
2,60.0,1054,2220,37,5.1849577837837835
2,60.0,1061,2280,38,5.149179868421053
2,60.0,1068,2340,39,5.090653897435898
2,60.0,1075,2400,40,5.1071735
2,60.0,1083,2460,41,5.146292268292683
2,60.0,1090,2520,42,5.205923261904762
2,60.0,1099,2580,43,5.307372813953489
2,60.0,1106,2640,44,5.381993727272727
2,60.0,1113,2700,45,5.369407311111111
2,60.0,1121,2760,46,5.335979891304348
2,60.0,1128,2820,47,5.2839126808510635
2,60.0,1135,2880,48,5.293341750000001
2,60.0,1142,2940,49,5.2243166326530615
2,60.0,1149,3000,50,5.369823560000001
