time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
1,60.0,39,60,1,6.788136
2,60.0,81,120,1,4.3540225
3,60.0,123,180,1,3.857179
4,60.0,166,240,1,5.04526525
5,60.0,208,300,1,4.4184344
6,60.0,253,360,1,4.6396896666666665
7,60.0,301,420,1,4.248985714285714
8,60.0,346,480,1,4.914903375
9,60.0,389,540,1,7.031317666666666
10,60.0,433,600,1,6.8062811
11,60.0,478,660,1,6.361265636363637
12,60.0,522,720,1,6.229572833333333
13,60.0,566,780,1,5.8968950769230775
14,60.0,611,840,1,5.680903714285715
15,60.0,655,900,1,5.6211048
16,60.0,698,960,1,6.1056553749999996
17,60.0,740,1020,1,6.083940823529411
18,60.0,783,1080,1,6.0117344444444445
19,60.0,826,1140,1,6.047708315789474
20,60.0,870,1200,1,5.79476395
21,60.0,916,1260,1,6.204921761904762
22,60.0,960,1320,1,6.444092
23,60.0,1003,1380,1,6.330097652173913
24,60.0,1047,1440,1,6.427479375
25,60.0,1091,1500,1,6.170380199999999
26,60.0,1134,1560,1,6.191177538461537
27,60.0,1179,1620,1,6.1747470370370365
28,60.0,1225,1680,1,6.022587714285714
29,60.0,1270,1740,1,6.0485342068965515
30,60.0,1315,1800,1,5.975487833333333
31,60.0,1359,1860,1,5.875305677419355
32,60.0,1402,1920,1,5.691702375
33,60.0,1448,1980,1,5.869934696969698
34,60.0,1492,2040,1,6.316804029411765
35,60.0,1538,2100,1,6.464396485714286
36,60.0,1581,2160,1,6.577510694444445
37,60.0,1627,2220,1,6.555311405405406
38,60.0,1672,2280,1,6.535314842105263
39,60.0,1716,2340,1,6.588498256410257
40,60.0,1761,2400,1,6.616801675
41,60.0,1806,2460,1,6.59575019512195
42,60.0,1850,2520,1,6.620643523809524
43,60.0,1893,2580,1,6.82355953488372
44,60.0,1937,2640,1,6.777241386363635
45,60.0,1981,2700,1,6.819830044444443
46,60.0,2025,2760,1,6.79607252173913
47,60.0,2071,2820,1,6.6930828085106375
48,60.0,2119,2880,1,6.71310125
49,60.0,2163,2940,1,6.67354006122449
50,60.0,2209,3000,1,6.67417326
