rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean
3.822222,60,19,3,1,60.0
4.308892999999999,120,38,3,2,60.0
6.379975333333333,180,60,2,3,60.0
5.740537,240,79,3,4,60.0
4.973382,300,99,3,5,60.0
5.584147333333334,360,119,3,6,60.0
4.786412,420,140,2,7,60.0
4.426999374999999,480,161,2,8,60.0
4.679378666666667,540,182,2,9,60.0
4.5933456,600,201,2,10,60.0
5.048380909090909,660,221,2,11,60.0
5.427158416666667,720,240,2,12,60.0
5.083189,780,259,3,13,60.0
5.610580285714286,840,279,3,14,60.0
5.2365416,900,297,3,15,60.0
5.388273,960,316,3,16,60.0
5.354132294117647,1020,337,3,17,60.0
5.428461777777778,1080,356,3,18,60.0
5.494298789473684,1140,377,3,19,60.0
5.65069495,1200,396,3,20,60.0
5.657040476190477,1260,415,3,21,60.0
5.881835727272729,1320,437,3,22,60.0
5.793805608695654,1380,456,3,23,60.0
5.751867958333334,1440,477,3,24,60.0
5.981348800000001,1500,497,3,25,60.0
5.935423923076924,1560,517,3,26,60.0
5.857164037037038,1620,536,3,27,60.0
5.750360571428573,1680,555,3,28,60.0
5.619505241379311,1740,581,2,29,60.0
5.849971200000001,1800,601,2,30,60.0
5.877750741935484,1860,620,2,31,60.0
5.84605996875,1920,641,2,32,60.0
5.814404787878787,1980,660,2,33,60.0
5.699602029411764,2040,679,3,34,60.0
5.618751714285714,2100,698,3,35,60.0
5.64865411111111,2160,717,3,36,60.0
5.625202702702703,2220,738,3,37,60.0
5.628967210526316,2280,759,3,38,60.0
5.805921230769231,2340,780,2,39,60.0
5.8284124,2400,799,3,40,60.0
5.89687812195122,2460,818,3,41,60.0
6.007072714285714,2520,839,3,42,60.0
6.089890883720931,2580,859,3,43,60.0
6.038901477272728,2640,879,3,44,60.0
6.012042933333334,2700,899,3,45,60.0
5.9437341956521745,2760,918,3,46,60.0
5.960128914893618,2820,939,3,47,60.0
5.855933104166667,2880,958,3,48,60.0
5.736424265306122,2940,979,3,49,60.0
5.8710926,3000,999,3,50,60.0
