time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,lilac/loss,lilac/dec_loss,lilac/kl,lilac/beta,lilac/risk,plugin/constraint_as/unsafe,lilac/cp_delta,plugin/constraint_as/s_env,plugin/constraint_as/raw,plugin/constraint_as/risk,lilac/s_uncert,lilac/cp_kl,lilac/cp_flag,plugin/constraint_as/s_agent,lilac/s_env,lilac/cp_cooldown
19,3,60,1,60.0,3.822222,,,,,,,,,,,,,,,,
63,1,120,2,60.0,4.3114375,,,,,,,,,,,,,,,,
108,1,180,3,60.0,6.383231666666667,,,,,,,,,,,,,,,,
154,1,240,4,60.0,5.74297925,0.33571556210517883,0.335705429315567,0.01266324520111084,0.0008,,,,,,,,,,,,
198,1,300,5,60.0,4.976605600000001,,,,,0.5092086086299921,0.0,0.09036454558372498,0.0,0.0,0.5,0.7367720007896423,0.013644516468048096,0.0,0.0,0.0,0.0
243,1,360,6,60.0,4.623361833333334,,,,,0.5103684080777752,0.0,0.0030371425673365593,0.0,0.0,0.5,0.8295915722846985,44.52299880981445,1.0,0.0,0.0,2.0
286,1,420,7,60.0,4.23499042857143,0.026211651042103767,0.0024544931948184967,14.848223686218262,0.0016,0.511577589014762,0.0,0.04065503552556038,0.0,0.0,0.5,0.9263727068901062,33.064170837402344,1.0,0.0,0.0,2.0
332,1,480,8,60.0,4.06434675,,,,,0.5128020225043729,0.0,0.004105110187083483,0.0,0.0,0.5,1.024385690689087,24.517648696899414,1.0,0.0,0.0,2.0
377,1,540,9,60.0,4.255080666666667,,,,,0.514028284894387,0.0,0.021052639931440353,0.0,0.0,0.5,1.1225574016571045,19.39252281188965,1.0,0.0,0.0,2.0
384,1,600,10,60.0,4.6953122,0.05702095478773117,0.002374789211899042,22.76923370361328,0.0024000000000000002,0.5151728939121817,0.0,0.0038157266099005938,0.0,0.0,0.5,1.2142043113708496,14.102598190307617,1.0,0.0,0.0,2.0
392,1,660,11,60.0,4.963415090909091,,,,,0.5162085181309363,0.0,0.02688632160425186,0.0,0.0,0.5,1.2971359491348267,10.821044921875,1.0,0.0,0.0,2.0
399,1,720,12,60.0,5.347412833333333,,,,,0.5171432356262128,0.0,0.004624765366315842,0.0,0.0,0.5,1.3719966411590576,8.827241897583008,1.0,0.0,0.0,2.0
408,1,780,13,60.0,5.157074615384615,,,,,0.5179312232422748,0.0,0.00972210243344307,0.0,0.0,0.5,1.4351133108139038,7.123453617095947,1.0,0.0,0.0,2.0
415,2,840,14,60.0,5.334743857142856,0.3470577597618103,0.31850123405456543,8.92391300201416,0.0032,0.5186039934877245,0.0,0.04328836873173714,0.0,0.0,0.5,1.4890068769454956,6.124573707580566,1.0,0.0,0.0,2.0
422,2,900,15,60.0,5.1060783999999995,,,,,0.5191135830574375,0.0,0.015449999831616879,0.0,0.0,0.5,1.529832124710083,5.12387752532959,1.0,0.0,0.0,2.0
430,2,960,16,60.0,5.26596375,,,,,0.5195599879429921,0.0,0.006341701373457909,0.0,0.0,0.5,1.5655980110168457,4.770683288574219,1.0,0.0,0.0,2.0
439,2,1020,17,60.0,5.125295823529412,0.022496940568089485,0.0011380930664017797,5.339711666107178,0.004,0.5198713500947182,0.0,0.03763474151492119,0.0,0.0,0.5,1.5905457735061646,4.1894612312316895,1.0,0.0,0.0,2.0
447,2,1080,18,60.0,5.212338444444445,,,,,0.5201470145073788,0.0,0.00872067641466856,0.0,0.0,0.5,1.612634301185608,4.042236804962158,1.0,0.0,0.0,2.0
454,2,1140,19,60.0,4.938004842105264,,,,,0.506416078123322,0.0,0.014322981238365173,0.0,0.0,0.5,0.513314425945282,3.5501010417938232,0.0,0.0,0.0,1.0
462,2,1200,20,60.0,5.1716644,0.13951842486858368,0.000843615154735744,28.890583038330078,0.0048000000000000004,0.5073438563290545,0.0,0.0012774784117937088,0.0,0.0,0.5,0.5875507593154907,103.78053283691406,1.0,0.0,0.0,2.0
469,2,1260,21,60.0,5.430325619047619,,,,,0.5083576113852142,0.0,0.04457533732056618,0.0,0.0,0.5,0.668671190738678,73.15886688232422,1.0,0.0,0.0,2.0
476,2,1320,22,60.0,5.357230090909091,,,,,0.5094608897075683,0.0,0.002293946919962764,0.0,0.0,0.5,0.7569615244865417,55.88910675048828,1.0,0.0,0.0,2.0
484,2,1380,23,60.0,5.416829043478261,,,,,0.5106192427760292,0.0,0.014211718924343586,0.0,0.0,0.5,0.8496671915054321,39.91044616699219,1.0,0.0,0.0,2.0
529,2,1440,24,60.0,5.310307708333334,0.3186107873916626,0.0032217411790043116,56.31947326660156,0.005600000000000001,0.5118285159144386,0.0,0.19567053020000458,0.0,0.0,0.5,0.9464578628540039,30.545040130615234,1.0,0.0,0.0,2.0
573,2,1500,25,60.0,5.44253032,,,,,0.5130077761824956,0.0,0.01454636175185442,0.0,0.0,0.5,1.040856957435608,21.19731903076172,1.0,0.0,0.0,2.0
618,2,1560,26,60.0,5.421724807692309,,,,,0.5141964132713845,0.0,0.007299831602722406,0.0,0.0,0.5,1.1360183954238892,17.443010330200195,1.0,0.0,0.0,2.0
662,2,1620,27,60.0,5.362490814814816,0.15290211141109467,0.005306660663336515,23.061790466308594,0.0064,0.5152514218012634,0.0,0.07472139596939087,0.0,0.0,0.5,1.2204923629760742,12.240167617797852,1.0,0.0,0.0,2.0
709,2,1680,28,60.0,5.205213642857144,,,,,0.516280480265672,0.0,0.011786853894591331,0.0,0.0,0.5,1.3028990030288696,10.663603782653809,1.0,0.0,0.0,2.0
756,2,1740,29,60.0,5.355553827586208,,,,,0.5171196003612809,0.0,0.016209686174988747,0.0,0.0,0.5,1.3701035976409912,7.902619361877441,1.0,0.0,0.0,2.0
800,2,1800,30,60.0,5.306342900000001,0.07207334786653519,0.0037019255105406046,9.496030807495117,0.0072,0.5179105327716886,0.0,0.0144118657335639,0.0,0.0,0.5,1.4334559440612793,7.177732467651367,1.0,0.0,0.0,2.0
846,2,1860,31,60.0,5.351658838709678,,,,,0.5184536255244636,0.0,0.0767870768904686,0.0,0.0,0.5,1.4769608974456787,5.40660285949707,1.0,0.0,0.0,2.0
889,2,1920,32,60.0,5.3364765,,,,,0.519009588715008,0.0,0.016617512330412865,0.0,0.0,0.5,1.5215004682540894,5.391430854797363,1.0,0.0,0.0,2.0
933,2,1980,33,60.0,5.378901696969696,,,,,0.519317705686945,0.0,0.025084238499403,0.0,0.0,0.5,1.546186089515686,4.223941802978516,1.0,0.0,0.0,2.0
979,2,2040,34,60.0,5.248896647058823,0.04408881440758705,0.004030211362987757,5.007325172424316,0.008,0.5196919129664492,0.0,0.09983427077531815,0.0,0.0,0.5,1.5761682987213135,4.468728065490723,1.0,0.0,0.0,2.0
1024,2,2100,35,60.0,5.153349942857143,,,,,0.5062806968257516,0.0,0.01687690243124962,0.0,0.0,0.5,0.5024821758270264,3.653270959854126,0.0,0.0,0.0,1.0
1070,2,2160,36,60.0,5.196180166666666,,,,,0.5071925208295851,0.0,0.001912711770273745,0.0,0.0,0.5,0.5754413604736328,107.6767349243164,1.0,0.0,0.0,2.0
1078,2,2220,37,60.0,5.1849577837837835,0.34248051047325134,0.0028042250778526068,38.599578857421875,0.0088,0.5081730863568344,0.0,0.06788979470729828,0.0,0.0,0.5,0.6539051532745361,67.62235260009766,1.0,0.0,0.0,2.0
1085,2,2280,38,60.0,5.149179868421053,,,,,0.5092601937496445,0.0,0.00346969161182642,0.0,0.0,0.5,0.7409002184867859,58.265655517578125,1.0,0.0,0.0,2.0
1092,2,2340,39,60.0,5.090653897435898,,,,,0.5104002157817741,0.0,0.0037866176571696997,0.0,0.0,0.5,0.8321372866630554,40.492515563964844,1.0,0.0,0.0,2.0
1100,2,2400,40,60.0,5.1071735,0.4778791069984436,0.0019846386276185513,49.57233810424805,0.009600000000000001,0.5116002132082403,0.0,0.005108450539410114,0.0,0.0,0.5,0.9281836152076721,31.908832550048828,1.0,0.0,0.0,2.0
1108,2,2460,41,60.0,5.146292268292683,,,,,0.5127499918405065,0.0,0.06396912783384323,0.0,0.0,0.5,1.0202205181121826,20.858158111572266,1.0,0.0,0.0,2.0
1116,2,2520,42,60.0,5.205923261904762,,,,,0.5139390476187499,0.0,0.007464095950126648,0.0,0.0,0.5,1.1154128313064575,18.201086044311523,1.0,0.0,0.0,2.0
1123,2,2580,43,60.0,5.307372813953489,,,,,0.5149889069354311,0.0,0.010268492624163628,0.0,0.0,0.5,1.1994719505310059,12.42172622680664,1.0,0.0,0.0,2.0
1132,2,2640,44,60.0,5.381993727272727,0.17906342446804047,0.0005960783455520868,17.160322189331055,0.0104,0.5160299347000531,0.0,0.06431759893894196,0.0,0.0,0.5,1.2828344106674194,11.075915336608887,1.0,0.0,0.0,2.0
1139,2,2700,45,60.0,5.369407311111111,,,,,0.5166570691375776,0.0,0.04278479889035225,0.0,0.0,0.5,1.3330588340759277,6.445242881774902,1.0,0.0,0.0,2.0
1147,2,2760,46,60.0,5.335979891304348,,,,,0.517497840169334,0.0,0.016943534836173058,0.0,0.0,0.5,1.400399088859558,7.774341583251953,1.0,0.0,0.0,2.0
1154,2,2820,47,60.0,5.2839126808510635,0.09749176353216171,0.003055234206840396,8.431833267211914,0.011200000000000002,0.5179136059124337,0.0,0.09640638530254364,0.0,0.0,0.5,1.4337021112442017,4.828710079193115,1.0,0.0,0.0,2.0
1162,2,2880,48,60.0,5.293341750000001,,,,,0.518547317768221,0.0,0.02004871517419815,0.0,0.0,0.5,1.484466552734375,5.930405616760254,1.0,0.0,0.0,2.0
1169,2,2940,49,60.0,5.2243166326530615,,,,,0.5059069388589119,0.0,0.0292929969727993,0.0,0.0,0.5,0.4725770950317383,3.5815601348876953,0.0,0.0,0.0,1.0
1178,2,3000,50,60.0,5.369823560000001,0.41128700971603394,0.0007108986028470099,34.21467590332031,0.012,0.5067757384792771,0.0,0.002877011662349105,0.0,0.0,0.5,0.5420922636985779,122.51802062988281,1.0,0.0,0.0,2.0
