rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,lilac/kl,lilac/loss,lilac/dec_loss,lilac/beta,lilac/risk,lilac/cp_flag,lilac/cp_cooldown,plugin/constraint_as/risk,lilac/s_env,lilac/cp_kl,lilac/s_uncert,lilac/cp_delta,plugin/constraint_as/unsafe,plugin/constraint_as/s_agent,plugin/constraint_as/raw,plugin/constraint_as/s_env
60.0,60,47,1,6.788136,1,,,,,,,,,,,,,,,,
60.0,120,92,2,4.3540225,1,,,,,,,,,,,,,,,,
60.0,180,136,3,3.857179,1,,,,,,,,,,,,,,,,
60.0,240,183,4,5.04526525,1,0.00759116793051362,0.001188993570394814,0.0011829206487163901,0.0008,,,,,,,,,,,,
60.0,300,227,5,4.4184344,1,,,,,0.5091795321431831,0.0,0.0,0.5,0.0,0.00680774450302124,0.7344450950622559,0.08182205259799957,0.0,0.0,0.0,0.0
60.0,360,272,6,4.6396896666666665,1,,,,,0.510335553930586,1.0,2.0,0.5,0.0,44.53225326538086,0.8269621133804321,0.004364247899502516,0.0,0.0,0.0,0.0
60.0,420,318,7,4.248985714285714,1,14.848228454589844,0.024953793734312057,0.001196627621538937,0.0016,0.5115320321956466,1.0,2.0,0.5,0.0,32.25522232055664,0.9227262139320374,0.06341227889060974,0.0,0.0,0.0,0.0
60.0,480,363,8,4.914903375,1,,,,,0.5127520781354732,1.0,2.0,0.5,0.0,24.55772590637207,1.0203875303268433,0.005955038592219353,0.0,0.0,0.0,0.0
60.0,540,410,9,7.031317666666666,1,,,,,0.5139451329881057,1.0,2.0,0.5,0.0,18.299264907836914,1.1159000396728516,0.007327061612159014,0.0,0.0,0.0,0.0
60.0,600,456,10,6.8062811,1,22.331512451171875,0.05566815659403801,0.0020725256763398647,0.0024000000000000002,0.515087716477586,1.0,2.0,0.5,0.0,14.213836669921875,1.2073838710784912,0.00746918236836791,0.0,0.0,0.0,0.0
60.0,660,500,11,6.361265636363637,1,,,,,0.5161141330507357,1.0,2.0,0.5,0.0,10.755960464477539,1.2895772457122803,0.049363236874341965,0.0,0.0,0.0,0.0
60.0,720,543,12,6.229572833333333,1,,,,,0.5170498907676886,1.0,2.0,0.5,0.0,8.898371696472168,1.3645203113555908,0.008262814953923225,0.0,0.0,0.0,0.0
60.0,780,587,13,5.8968950769230775,1,,,,,0.5178215480181405,1.0,2.0,0.5,0.0,7.0566816329956055,1.4263280630111694,0.01956484466791153,0.0,0.0,0.0,0.0
