time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,lilac/loss,lilac/kl,lilac/dec_loss,lilac/beta,lilac/cp_flag,lilac/risk,lilac/s_env,plugin/constraint/unsafe,plugin/constraint/s_env,lilac/cp_kl,plugin/constraint/s_uncert,lilac/cp_cooldown,lilac/s_uncert,plugin/constraint/risk,lilac/cp_delta
60,19,60.0,3,3.822222,1,,,,,,,,,,,,,,,
120,66,60.0,1,4.3114375,2,,,,,,,,,,,,,,,
180,111,60.0,1,6.383231666666667,3,,,,,,,,,,,,,,,
240,156,60.0,1,5.74297925,4,0.33571556210517883,0.01266324520111084,0.335705429315567,0.0008,,,,,,,,,,,
300,200,60.0,1,4.976605600000001,5,,,,,0.0,0.5092086086299921,0.0,0.0,0.0,0.013644516468048096,0.7367720007896423,0.0,0.7367720007896423,0.5092086086299921,0.09036454558372498
360,247,60.0,1,4.623361833333334,6,,,,,1.0,0.5103684080777752,0.0,1.0,0.0,44.52299880981445,0.8295915722846985,2.0,0.8295915722846985,0.5103684080777752,0.0030371425673365593
420,292,60.0,1,4.23499042857143,7,0.026211651042103767,14.848223686218262,0.0024544931948184967,0.0016,1.0,0.511577589014762,0.0,1.0,0.0,33.064170837402344,0.9263727068901062,2.0,0.9263727068901062,0.511577589014762,0.04065503552556038
480,341,60.0,1,4.06434675,8,,,,,1.0,0.5128020225043729,0.0,1.0,0.0,24.517648696899414,1.024385690689087,2.0,1.024385690689087,0.5128020225043729,0.004105110187083483
540,387,60.0,1,4.255080666666667,9,,,,,1.0,0.514028284894387,0.0,1.0,0.0,19.39252281188965,1.1225574016571045,2.0,1.1225574016571045,0.514028284894387,0.021052639931440353
600,394,60.0,1,4.6953122,10,0.05702095478773117,22.76923370361328,0.002374789211899042,0.0024000000000000002,1.0,0.5151728939121817,0.0,1.0,0.0,14.102598190307617,1.2142043113708496,2.0,1.2142043113708496,0.5151728939121817,0.0038157266099005938
660,402,60.0,1,4.963415090909091,11,,,,,1.0,0.5162085181309363,0.0,1.0,0.0,10.821044921875,1.2971359491348267,2.0,1.2971359491348267,0.5162085181309363,0.02688632160425186
720,409,60.0,1,5.347412833333333,12,,,,,1.0,0.5171432356262128,0.0,1.0,0.0,8.827241897583008,1.3719966411590576,2.0,1.3719966411590576,0.5171432356262128,0.004624765366315842
780,416,60.0,1,5.157074615384615,13,,,,,1.0,0.5179312232422748,0.0,1.0,0.0,7.123453617095947,1.4351133108139038,2.0,1.4351133108139038,0.5179312232422748,0.00972210243344307
840,424,60.0,1,5.334743857142856,14,0.3470577597618103,8.92391300201416,0.31850123405456543,0.0032,1.0,0.5186039934877245,0.0,1.0,0.0,6.124573707580566,1.4890068769454956,2.0,1.4890068769454956,0.5186039934877245,0.04328836873173714
900,431,60.0,2,5.1060783999999995,15,,,,,1.0,0.5191135830574375,0.0,1.0,0.0,5.12387752532959,1.529832124710083,2.0,1.529832124710083,0.5191135830574375,0.015449999831616879
960,439,60.0,2,5.26596375,16,,,,,1.0,0.5195599879429921,0.0,1.0,0.0,4.770683288574219,1.5655980110168457,2.0,1.5655980110168457,0.5195599879429921,0.006341701373457909
1020,447,60.0,2,5.125295823529412,17,0.022496940568089485,5.339711666107178,0.0011380930664017797,0.004,1.0,0.5198713500947182,0.0,1.0,0.0,4.1894612312316895,1.5905457735061646,2.0,1.5905457735061646,0.5198713500947182,0.03763474151492119
1080,454,60.0,2,5.212338444444445,18,,,,,1.0,0.5201470145073788,0.0,1.0,0.0,4.042236804962158,1.612634301185608,2.0,1.612634301185608,0.5201470145073788,0.00872067641466856
1140,462,60.0,2,4.938004842105264,19,,,,,0.0,0.506416078123322,0.0,0.0,0.0,3.5501010417938232,0.513314425945282,1.0,0.513314425945282,0.506416078123322,0.014322981238365173
1200,469,60.0,2,5.1716644,20,0.13951842486858368,28.890583038330078,0.000843615154735744,0.0048000000000000004,1.0,0.5073438563290545,0.0,1.0,0.0,103.78053283691406,0.5875507593154907,2.0,0.5875507593154907,0.5073438563290545,0.0012774784117937088
1260,476,60.0,2,5.430325619047619,21,,,,,1.0,0.5083576113852142,0.0,1.0,0.0,73.15886688232422,0.668671190738678,2.0,0.668671190738678,0.5083576113852142,0.04457533732056618
1320,484,60.0,2,5.357230090909091,22,,,,,1.0,0.5094608897075683,0.0,1.0,0.0,55.88910675048828,0.7569615244865417,2.0,0.7569615244865417,0.5094608897075683,0.002293946919962764
1380,491,60.0,2,5.416829043478261,23,,,,,1.0,0.5106192427760292,0.0,1.0,0.0,39.91044616699219,0.8496671915054321,2.0,0.8496671915054321,0.5106192427760292,0.014211718924343586
1440,535,60.0,2,5.310307708333334,24,0.3186107873916626,56.31947326660156,0.0032217411790043116,0.005600000000000001,1.0,0.5118285159144386,0.0,1.0,0.0,30.545040130615234,0.9464578628540039,2.0,0.9464578628540039,0.5118285159144386,0.19567053020000458
1500,580,60.0,2,5.44253032,25,,,,,1.0,0.5130077761824956,0.0,1.0,0.0,21.19731903076172,1.040856957435608,2.0,1.040856957435608,0.5130077761824956,0.01454636175185442
1560,626,60.0,2,5.421724807692309,26,,,,,1.0,0.5141964132713845,0.0,1.0,0.0,17.443010330200195,1.1360183954238892,2.0,1.1360183954238892,0.5141964132713845,0.007299831602722406
1620,673,60.0,2,5.362490814814816,27,0.15290211141109467,23.061790466308594,0.005306660663336515,0.0064,1.0,0.5152514218012634,0.0,1.0,0.0,12.240167617797852,1.2204923629760742,2.0,1.2204923629760742,0.5152514218012634,0.07472139596939087
1680,717,60.0,2,5.205213642857144,28,,,,,1.0,0.516280480265672,0.0,1.0,0.0,10.663603782653809,1.3028990030288696,2.0,1.3028990030288696,0.516280480265672,0.011786853894591331
