time/episodes,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,lilac/loss,lilac/dec_loss,lilac/beta,lilac/kl,lilac/cp_cooldown,lilac/cp_kl,lilac/s_uncert,lilac/s_env,plugin/constraint/s_uncert,plugin/constraint/risk,lilac/cp_delta,lilac/risk,lilac/cp_flag,plugin/constraint/s_env,plugin/constraint/unsafe
1,1,6.788136,60,60.0,44,,,,,,,,,,,,,,,
2,1,4.3540225,120,60.0,87,,,,,,,,,,,,,,,
3,1,3.857179,180,60.0,130,,,,,,,,,,,,,,,
4,1,5.04526525,240,60.0,175,0.001188993570394814,0.0011829206487163901,0.0008,0.00759116793051362,,,,,,,,,,,
5,1,4.4184344,300,60.0,220,,,,,0.0,0.00680774450302124,0.7344450950622559,0.0,0.7344450950622559,0.5091795321431831,0.08182205259799957,0.5091795321431831,0.0,0.0,0.0
6,1,4.6396896666666665,360,60.0,267,,,,,2.0,44.53225326538086,0.8269621133804321,0.0,0.8269621133804321,0.510335553930586,0.004364247899502516,0.510335553930586,1.0,0.0,1.0
7,1,4.248985714285714,420,60.0,313,0.024953793734312057,0.001196627621538937,0.0016,14.848228454589844,2.0,32.25522232055664,0.9227262139320374,0.0,0.9227262139320374,0.5115320321956466,0.06341227889060974,0.5115320321956466,1.0,0.0,1.0
8,1,4.914903375,480,60.0,358,,,,,2.0,24.55772590637207,1.0203875303268433,0.0,1.0203875303268433,0.5127520781354732,0.005955038592219353,0.5127520781354732,1.0,0.0,1.0
9,1,7.031317666666666,540,60.0,400,,,,,2.0,18.299264907836914,1.1159000396728516,0.0,1.1159000396728516,0.5139451329881057,0.007327061612159014,0.5139451329881057,1.0,0.0,1.0
10,1,6.8062811,600,60.0,444,0.05566815659403801,0.0020725256763398647,0.0024000000000000002,22.331512451171875,2.0,14.213836669921875,1.2073838710784912,0.0,1.2073838710784912,0.515087716477586,0.00746918236836791,0.515087716477586,1.0,0.0,1.0
11,1,6.361265636363637,660,60.0,490,,,,,2.0,10.755960464477539,1.2895772457122803,0.0,1.2895772457122803,0.5161141330507357,0.049363236874341965,0.5161141330507357,1.0,0.0,1.0
