time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,lilac/beta,lilac/kl,lilac/dec_loss,lilac/loss,lilac/cp_flag,lilac/cp_kl,lilac/cp_cooldown,lilac/s_env,lilac/cp_delta,lilac/s_uncert,lilac/risk
1,60.0,6.788136,44,60,1,,,,,,,,,,,
2,60.0,4.3540225,86,120,1,,,,,,,,,,,
3,60.0,3.857179,129,180,1,,,,,,,,,,,
4,60.0,5.04526525,174,240,1,0.0008,0.00759116793051362,0.0011829206487163901,0.001188993570394814,,,,,,,
5,60.0,4.4184344,219,300,1,,,,,0.0,0.00680774450302124,0.0,0.0,0.08182205259799957,0.7344450950622559,0.5091795321431831
6,60.0,4.6396896666666665,265,360,1,,,,,1.0,44.53225326538086,2.0,0.0,0.004364247899502516,0.8269621133804321,0.510335553930586
7,60.0,4.248985714285714,308,420,1,0.0016,14.848228454589844,0.001196627621538937,0.024953793734312057,1.0,32.25522232055664,2.0,0.0,0.06341227889060974,0.9227262139320374,0.5115320321956466
8,60.0,4.914903375,351,480,1,,,,,1.0,24.55772590637207,2.0,0.0,0.005955038592219353,1.0203875303268433,0.5127520781354732
9,60.0,7.031317666666666,395,540,1,,,,,1.0,18.299264907836914,2.0,0.0,0.007327061612159014,1.1159000396728516,0.5139451329881057
10,60.0,6.8062811,438,600,1,0.0024000000000000002,22.331512451171875,0.0020725256763398647,0.05566815659403801,1.0,14.213836669921875,2.0,0.0,0.00746918236836791,1.2073838710784912,0.515087716477586
11,60.0,6.361265636363637,483,660,1,,,,,1.0,10.755960464477539,2.0,0.0,0.049363236874341965,1.2895772457122803,0.5161141330507357
12,60.0,6.229572833333333,526,720,1,,,,,1.0,8.898371696472168,2.0,0.0,0.008262814953923225,1.3645203113555908,0.5170498907676886
13,60.0,5.8968950769230775,573,780,1,,,,,1.0,7.0566816329956055,2.0,0.0,0.01956484466791153,1.4263280630111694,0.5178215480181405
14,60.0,5.680903714285715,617,840,1,0.0032,8.903671264648438,0.0015131601830944419,0.03000490739941597,1.0,6.184972763061523,2.0,0.0,0.09181132912635803,1.4806321859359741,0.518499453964874
15,60.0,5.6211048,661,900,1,,,,,1.0,5.001702785491943,2.0,0.0,0.01850237138569355,1.5190316438674927,0.5189787729451734
16,60.0,6.1056553749999996,704,960,1,,,,,1.0,4.838992595672607,2.0,0.0,0.012389950454235077,1.555733561515808,0.519436869842482
17,60.0,6.083940823529411,747,1020,1,0.004,5.34188985824585,0.00022971058206167072,0.021597271785140038,0.0,3.813218593597412,1.0,0.0,0.06440719962120056,0.4970650374889374,0.5062129931662981
18,60.0,6.0117344444444445,793,1080,1,,,,,1.0,110.63835906982422,2.0,0.0,0.0019141228403896093,0.5694551467895508,0.5071177084820836
19,60.0,6.047708315789474,838,1140,1,,,,,1.0,77.08370971679688,2.0,0.0,0.0021700276993215084,0.6487582325935364,0.5081087669039385
20,60.0,5.79476395,881,1200,1,0.0048000000000000004,62.807716369628906,0.00044371368130669,0.3019207715988159,1.0,59.695594787597656,2.0,0.0,0.003167737741023302,0.7354680299758911,0.5091923145137799
21,60.0,6.204921761904762,925,1260,1,,,,,1.0,40.24969482421875,2.0,0.0,0.06427978724241257,0.8258987069129944,0.5103222670222939
22,60.0,6.444092,969,1320,1,,,,,1.0,32.66375732421875,2.0,0.0,0.005006636958569288,0.921919584274292,0.5115219546838329
23,60.0,6.330097652173913,1012,1380,1,,,,,1.0,22.508623123168945,2.0,0.0,0.0085739241912961,1.016243577003479,0.512700312275892
24,60.0,6.427479375,1055,1440,1,0.005600000000000001,31.807357788085938,0.000873990822583437,0.17899519205093384,1.0,18.495952606201172,2.0,0.0,0.08144805580377579,1.1118431091308594,0.5138944606600683
25,60.0,6.170380199999999,1099,1500,1,,,,,1.0,12.901723861694336,2.0,0.0,0.011633352376520634,1.1976697444915771,0.5149663995743948
26,60.0,6.191177538461537,1145,1560,1,,,,,1.0,11.231597900390625,2.0,0.0,0.00978164654225111,1.281853199005127,0.5160176821511898
27,60.0,6.1747470370370365,1190,1620,1,0.0064,14.209757804870605,0.0003800640406552702,0.09132251143455505,1.0,7.797399520874023,2.0,0.0,0.06596507877111435,1.3470182418823242,0.516831366044246
28,60.0,6.022587714285714,1233,1680,1,,,,,1.0,7.527128219604492,2.0,0.0,0.012251267209649086,1.4129869937896729,0.5176549945403037
29,60.0,6.0485342068965515,1276,1740,1,,,,,1.0,5.274790287017822,2.0,0.0,0.02405175007879734,1.4536985158920288,0.5181632356391821
30,60.0,5.975487833333333,1319,1800,1,0.0072,6.5695648193359375,0.00019574424368329346,0.04749661311507225,1.0,5.678938865661621,2.0,0.0,0.01618947647511959,1.5019434690475464,0.5187654750668909
31,60.0,5.875305677419355,1363,1860,1,,,,,0.0,3.697877883911133,1.0,0.0,0.08337406814098358,0.47896498441696167,0.5059867761806356
32,60.0,5.691702375,1407,1920,1,,,,,1.0,119.32586669921875,2.0,0.0,0.002372028538957238,0.5492556095123291,0.5068652636400415
33,60.0,5.869934696969698,1452,1980,1,,,,,1.0,77.01203918457031,2.0,0.0,0.0032694812398403883,0.6257261037826538,0.5078209383583808
34,60.0,6.316804029411765,1497,2040,1,0.008,66.67859649658203,8.36931067169644e-05,0.5335124731063843,1.0,64.39708709716797,2.0,0.0,0.08073736727237701,0.7104523777961731,0.5088797209976524
35,60.0,6.464396485714286,1540,2100,1,,,,,1.0,40.11296844482422,2.0,0.0,0.007371591404080391,0.7977070808410645,0.5099700168192076
36,60.0,6.577510694444445,1583,2160,1,,,,,1.0,35.41442108154297,2.0,0.0,0.0064784931018948555,0.892578125,0.5111553750740737
37,60.0,6.555311405405406,1627,2220,1,0.0088,46.6414909362793,6.850739009678364e-05,0.41051363945007324,1.0,20.819469451904297,2.0,0.0,0.09060459583997726,0.9809561967849731,0.5122594948487351
38,60.0,6.535314842105263,1672,2280,1,,,,,1.0,20.25844955444336,2.0,0.0,0.009937722235918045,1.0770360231399536,0.513459697667694
39,60.0,6.588498256410257,1717,2340,1,,,,,1.0,11.391332626342773,2.0,0.0,0.01576441526412964,1.1532752513885498,0.5144119474216929
40,60.0,6.616801675,1762,2400,1,0.009600000000000001,16.249046325683594,0.00022940743656363338,0.15622025728225708,1.0,12.526931762695312,2.0,0.0,0.013705090619623661,1.240588903427124,0.5155023909610117
41,60.0,6.59575019512195,1807,2460,1,,,,,1.0,7.005535125732422,2.0,0.0,0.10538345575332642,1.295904278755188,0.5161931384148234
42,60.0,6.620643523809524,1851,2520,1,,,,,1.0,8.521952629089355,2.0,0.0,0.018814412876963615,1.3679581880569458,0.5170928141312239
43,60.0,6.82355953488372,1895,2580,1,,,,,1.0,4.553232192993164,2.0,0.0,0.031485237181186676,1.3955373764038086,0.5174371429323591
44,60.0,6.777241386363635,1937,2640,1,0.0104,6.693572998046875,0.00042119689169339836,0.07003435492515564,1.0,6.523413181304932,2.0,0.0,0.13004659116268158,1.4524898529052734,0.5181481472723753
45,60.0,6.819830044444443,1985,2700,1,,,,,0.0,3.147745132446289,1.0,0.0,0.03701931610703468,0.458842009305954,0.5057352735598866
46,60.0,6.79607252173913,2029,2760,1,,,,,1.0,130.386474609375,2.0,0.0,0.0034700294490903616,0.5267353653907776,0.5065838115135632
47,60.0,6.6930828085106375,2074,2820,1,0.011200000000000002,46.68587875366211,9.48056040215306e-05,0.5229766368865967,1.0,67.50277709960938,2.0,0.0,0.13097447156906128,0.5985766053199768,0.5074816491103304
48,60.0,6.71310125,2117,2880,1,,,,,1.0,70.95843505859375,2.0,0.0,0.005861714016646147,0.6808702349662781,0.5085100560512497
49,60.0,6.67354006122449,2160,2940,1,,,,,1.0,34.9091911315918,2.0,0.0,0.010369986295700073,0.7614302039146423,0.5095167280829264
50,60.0,6.67417326,2203,3000,1,0.012,53.23056411743164,0.0005355635075829923,0.6393023133277893,1.0,39.55184555053711,2.0,0.0,0.00953050795942545,0.8545793890953064,0.5106806173885046
