time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,lilac/dec_loss,lilac/loss,lilac/beta,lilac/kl,lilac/cp_flag,lilac/cp_cooldown,lilac/cp_kl,lilac/s_env,lilac/risk,lilac/cp_delta,lilac/s_uncert
1,19,3.822222,60.0,3,60,,,,,,,,,,,
2,38,4.308892999999999,60.0,3,120,,,,,,,,,,,
3,61,6.379975333333333,60.0,2,180,,,,,,,,,,,
4,84,5.740537,60.0,2,240,0.3355490267276764,0.3355591595172882,0.0008,0.01266042422503233,,,,,,,
5,104,4.973382,60.0,2,300,,,,,0.0,0.0,0.013668060302734375,0.0,0.5092087129027393,0.09001172333955765,0.7367803454399109
6,124,5.584147333333334,60.0,2,360,,,,,1.0,2.0,44.521697998046875,0.0,0.5103685182989504,0.0030283438973128796,0.8296003937721252
7,143,4.786412,60.0,2,420,0.0024555753916502,0.026212049648165703,0.0016,14.847796440124512,1.0,2.0,33.06582260131836,0.0,0.5115777275212584,0.04065223038196564,0.9263837933540344
8,164,4.426999374999999,60.0,2,480,,,,,1.0,2.0,24.516952514648438,0.0,0.5128021624834612,0.00410363357514143,1.0243968963623047
9,183,4.679378666666667,60.0,2,540,,,,,1.0,2.0,19.390239715576172,0.0,0.5140282461818652,0.02133721299469471,1.1225543022155762
10,202,4.5933456,60.0,2,600,0.0023824183735996485,0.05702792480587959,0.0024000000000000002,22.768959045410156,1.0,2.0,14.10282039642334,0.0,0.5151728596710715,0.0038277553394436836,1.21420156955719
11,223,5.048380909090909,60.0,2,660,,,,,1.0,2.0,10.878674507141113,0.0,0.5162125535894976,0.028325188905000687,1.2974591255187988
12,242,5.427158416666667,60.0,2,720,,,,,1.0,2.0,8.820087432861328,0.0,0.5171467704907938,0.00486863125115633,1.3722797632217407
13,261,5.083189,60.0,2,780,,,,,1.0,2.0,7.125641345977783,0.0,0.5179354184758482,0.00852313730865717,1.4354493618011475
14,280,5.610580285714286,60.0,2,840,0.3142089545726776,0.3428216576576233,0.0032,8.94146728515625,1.0,2.0,6.119067192077637,0.0,0.5186074487462525,0.03714313358068466,1.4892836809158325
15,299,5.2365416,60.0,3,900,,,,,1.0,2.0,5.105165004730225,0.0,0.5191137318512947,0.013804585672914982,1.529844045639038
16,320,5.388273,60.0,2,960,,,,,1.0,2.0,4.770259857177734,0.0,0.5195601277995452,0.006096364464610815,1.5656092166900635
17,340,5.354132294117647,60.0,2,1020,0.0009872240480035543,0.02231321483850479,0.004,5.3314971923828125,1.0,2.0,4.198986053466797,0.0,0.5198729062941082,0.041003502905368805,1.5906704664230347
18,358,5.428461777777778,60.0,3,1080,,,,,1.0,2.0,4.041234493255615,0.0,0.5201482344185967,0.009488390758633614,1.6127320528030396
19,379,5.494298789473684,60.0,3,1140,,,,,0.0,1.0,3.5239830017089844,0.0,0.5064136325003316,0.0167775247246027,0.5131187438964844
